x,y,Side,Balls,Strikes
-0.99,3.4,L,0,0
0.81,3.4,L,0,0
0.81,1.56,L,0,0
-0.99,1.56,L,0,0
-0.99,3.4,L,0,0
-0.966,3.312,L,0,1
0.773,3.312,L,0,1
0.773,1.675,L,0,1
-0.966,1.675,L,0,1
-0.966,3.312,L,0,1
-0.9106,3.35,L,0,2
0.7566,3.35,L,0,2
0.756,1.796,L,0,2
-0.9106,1.796,L,0,2
-0.9106,3.36,L,0,2
-1.018,3.412,L,1,0
0.818,3.412,L,1,0
0.818,1.548,L,1,0
-1.018,1.548,L,1,0
-1.018,3.412,L,1,0
-0.98,3.36,L,1,1
0.79,3.36,L,1,1
0.79,1.6,L,1,1
-0.98,1.6,L,1,1
-0.98,3.36,L,1,1
-0.94,3.32,L,1,2
0.78,3.32,L,1,2
0.78,1.69,L,1,2
-0.94,1.69,L,1,2
-0.94,3.32,L,1,2
-1.043,3.424,L,2,0
0.764,3.424,L,2,0
0.764,1.536,L,2,0
-1.043,1.536,L,2,0
-1.043,3.424,L,2,0
-0.97,3.33,L,2,1
0.79,3.33,L,2,1
0.79,1.66,L,2,1
-0.97,1.66,L,2,1
-0.97,3.33,L,2,1
-0.95,3.31,L,2,2
0.79,3.31,L,2,2
0.79,1.73,L,2,2
-0.95,1.73,L,2,2
-0.95,3.35,L,2,2
-1.06,3.43,L,3,0
0.78,3.43,L,3,0
0.78,1.54,L,3,0
-1.06,1.54,L,3,0
-1.06,3.43,L,3,0
-0.99,3.35,L,3,1
0.81,3.35,L,3,1
0.81,1.67,L,3,1
-0.99,1.67,L,3,1
-0.99,3.33,L,3,1
-0.96,3.33,L,3,2
0.81,3.33,L,3,2
0.81,1.7,L,3,2
-0.96,1.7,L,3,2
-0.96,3.33,L,3,2
-0.93,3.39,R,0,0
0.93,3.39,R,0,0
0.93,1.61,R,0,0
-0.93,1.61,R,0,0
-0.93,3.39,R,0,0
-0.903,3.339,R,0,1
0.906,3.339,R,0,1
0.906,1.681,R,0,1
-0.903,1.681,R,0,1
-0.903,3.339,R,0,1
-0.88,3.336,R,0,2
0.888,3.336,R,0,2
0.88,1.754,R,0,2
-0.88,1.754,R,0,2
-0.88,3.336,R,0,2
-0.936,3.415,R,1,0
0.954,3.415,R,1,0
0.954,1.588,R,1,0
-0.936,1.588,R,1,0
-0.936,3.415,R,1,0
-0.92,3.4,R,1,1
0.93,3.4,R,1,1
0.93,1.63,R,1,1
-0.92,1.63,R,1,1
-0.92,3.4,R,1,1
-0.92,3.28,R,1,2
0.87,3.28,R,1,2
0.87,1.74,R,1,2
-0.92,1.74,R,1,2
-0.92,3.28,R,1,2
-0.957,3.389,R,2,0
0.967,3.389,R,2,0
0.967,1.526,R,2,0
-0.957,1.526,R,2,0
-0.957,3.389,R,2,0
-0.93,3.35,R,2,1
0.91,3.35,R,2,1
0.91,1.7,R,2,1
-0.93,1.7,R,2,1
-0.93,3.35,R,2,1
-0.93,3.31,R,2,2
0.88,3.31,R,2,2
0.88,1.75,R,2,2
-0.93,1.75,R,2,2
-0.93,3.31,R,2,2
-0.96,3.4,R,3,0
0.98,3.4,R,3,0
0.98,1.51,R,3,0
-0.96,1.51,R,3,0
-0.96,3.4,R,3,0
-0.96,3.35,R,3,1
0.92,3.35,R,3,1
0.92,1.7,R,3,1
-0.96,1.7,R,3,1
-0.96,3.33,R,3,1
-0.94,3.33,R,3,2
0.89,3.33,R,3,2
0.89,1.72,R,3,2
-0.94,1.72,R,3,2
-0.94,3.33,R,3,2
