plate_x,plate_z,z
1.684,2.004,0.0152492449949
-0.69,3.529,0.255641047934
0.267,2.031,0.978680037625
-0.022,1.646,0.799503863399
1.639,2.402,0.0125083530218
1.371,2.987,0.0141726234883
-0.103,2.682,0.990072734712
1.006,3.116,0.293117178643
-0.91,3.514,0.139781806941
-1.029,3.131,0.230561635887
0.3,1.5,0.464687909123
0.492,2.112,0.981810181024
-0.173,0.755,0.0142930859769
0.857,0.916,0.0120527627415
0.125,1.86,0.965017941976
-0.513,1.899,0.913956753162
-0.856,1.651,0.416316408576
1.201,1.625,0.0312106082414
-0.7,3.636,0.0666358311512
0.439,2.343,0.990439704899
0.137,2.254,0.989384627794
-0.905,1.768,0.533644737196
-0.754,1.944,0.835851900648
1.313,2.655,0.0180329451637
0.337,1.965,0.977523713997
1.103,1.559,0.046286390877
1.425,2.098,0.0241892667788
-0.905,2.91,0.704087042557
-1.046,1.917,0.219954819515
0.145,3.898,0.0224687387161
-1.307,2.522,0.02785746806
1.489,1.865,0.0172012365217
-0.044,1.958,0.978418817415
0.806,1.706,0.656235398209
-0.269,2.447,0.988945034209
0.092,4.009,0.0227980373073
0.915,0.951,0.0164185177296
0.177,1.977,0.981448978972
-0.784,2.001,0.814159266622
-0.778,3.372,0.471292647573
0.933,2.505,0.729983649235
0.365,2.706,0.989963309552
-0.226,4.1,0.0175145248889
0.151,3.564,0.31321678814
1.35,2.025,0.0192572006463
0.347,2.452,0.991039754241
1.239,3.681,0.00448966726813
1.291,1.519,0.0112581903703
0.268,4.515,0.0204129192604
0.997,1.097,0.0107486380422
-0.713,1.923,0.895676740272
0.33,3.813,0.0247863971112
-0.14,2.076,0.985728837876
0.281,3.722,0.0654784185202
1.23,2.848,0.0248168687586
1.299,2.484,0.0342072658404
0.97,1.954,0.453352845246
0.41,3.298,0.831736712034
0.504,1.229,0.0456280067805
0.837,4.188,0.0136627731962
0.272,3.072,0.986188220531
-0.727,1.362,0.107600235892
0.291,3.419,0.596018152732
-0.515,3.947,0.0272758926729
0.793,2.284,0.939191930836
1.204,2.276,0.0780871438253
-1.994,2.383,0.0377000082583
1.075,1.771,0.152115554783
0.168,1.865,0.948141757975
-1.016,3.65,0.0246442049558
0.647,1.923,0.938359285232
-0.479,0.954,0.0112529024966
1.511,1.692,0.011606219731
-0.179,2.699,0.989241961942
-0.483,1.771,0.871700526202
-0.234,0.608,0.0103281968289
0.174,2.493,0.990987597799
-1.082,1.294,0.0133048285982
0.387,1.696,0.865356626767
-1.04,2.21,0.271980218623
1.54,1.87,0.0167254908652
1.384,2.318,0.0182956007035
-0.245,2.025,0.973489071828
0.413,2.267,0.989124784208
1.001,2.576,0.480925551869
1.272,2.102,0.0292136047003
0.69,2.889,0.964088791691
-0.708,2.704,0.939888750778
0.261,2.19,0.989983002985
-0.558,2.844,0.978542494352
0.075,2.451,0.991121023448
0.631,0.822,0.0158315232091
0.353,1.248,0.0360816726604
-1.308,3.269,0.0164193459463
0.728,2.364,0.96433902329
-1.517,2.248,0.0369164246534
0.68,1.824,0.898284964805
0.421,1.91,0.956493449437
-0.846,3.897,0.0111089376231
0.868,1.947,0.752561479581
0.863,1.869,0.720666800317
0.584,1.783,0.903015459428
0.361,1.089,0.0101559877519
0.282,1.655,0.854707590266
-0.035,1.087,0.0150496233326
0.35,1.936,0.97381982126
0.299,2.634,0.99063121812
0.993,1.505,0.0691258675768
-1.442,3.089,0.0303008899702
0.685,4.047,0.0162116969275
0.022,1.852,0.964390280398
0.188,2.025,0.982827012897
-1.017,1.194,0.0127904366135
0.041,0.998,0.0110261856192
0.522,1.003,0.0125534633961
0.465,1.346,0.081871924841
1.011,1.509,0.0769331005544
-1.521,2.539,0.0234615820227
-0.284,2.073,0.983940419989
-0.173,1.371,0.126824653224
0.72,1.388,0.107951603107
-0.773,1.551,0.4438206556
-0.961,1.375,0.0611886791824
1.92,2.465,0.013381894937
0.509,1.568,0.628312226256
-0.119,2.499,0.989794626693
0.512,2.572,0.981445874997
0.231,1.09,0.0105357469128
0.807,1.467,0.191022218563
-0.969,1.19,0.019760752756
0.798,1.448,0.130349655162
1.088,1.615,0.0725319386379
0.42,3.723,0.0686437216485
1.131,2.596,0.15362863958
0.165,2.435,0.991198644965
1.047,1.202,0.0227015166789
0.957,1.266,0.0216772068429
-1.257,1.201,0.00791429830345
0.281,1.706,0.893876458019
0.443,1.7,0.867196098374
-1.608,2.371,0.0386522587031
0.082,3.992,0.0224795118347
-0.922,3.207,0.443650753018
0.805,1.49,0.238311825477
-1.356,2.129,0.0386089155737
0.411,2.01,0.977954511772
0.445,3.935,0.0209196631893
1.103,2.265,0.183867056959
-0.834,2.419,0.772397465095
0.856,3.537,0.1384700082
1.673,1.826,0.0143386085954
-0.059,1.638,0.776441217318
0.033,3.424,0.602168969009
-0.579,1.343,0.0717835610126
-0.432,2.506,0.986062193909
-0.815,2.439,0.84501281561
-0.434,2.692,0.986862935143
1.137,1.51,0.0247830488055
0.793,2.063,0.918489937273
1.27,1.454,0.00973547389222
0.298,1.877,0.961240218608
0.612,2.42,0.983077627062
-1.205,2.747,0.0346831440786
0.058,2.498,0.988991188915
-0.37,2.3,0.988092200525
0.853,2.351,0.882490914167
0.562,3.721,0.0517957835367
-0.277,2.31,0.988981203016
-0.44,1.831,0.929813330313
-0.419,3.653,0.130959631898
0.087,2.402,0.991179686266
1.249,2.479,0.0343220342535
-0.02,1.518,0.47956937331
0.468,1.65,0.829041164272
0.135,2.43,0.9912957135
0.53,1.233,0.0288284850365
0.635,2.255,0.964700567851
-0.412,3.078,0.981268925532
1.038,3.11,0.227068950157
-1.446,2.148,0.0502302463527
0.228,2.409,0.991260464771
0.302,2.785,0.990790964026
0.385,2.715,0.990988615184
-1.086,3.699,0.010958834898
-1.258,3.446,0.0227794714026
-1.024,2.497,0.301271120035
-0.115,3.751,0.0425432151314
-1.48,1.877,0.0348651812176
1.059,2.564,0.334964758584
1.055,4.226,0.0182622424116
1.27,1.51,0.0118293302588
1.229,2.406,0.0270226022661
-0.171,1.021,0.0136539404862
-1.228,1.824,0.0398576429855
0.685,2.987,0.938995861471
0.891,2.257,0.805070343136
-1.454,1.563,0.056798460983
-0.898,3.331,0.371141737382
0.556,2.404,0.975042777265
-1.08,3.48,0.05002665495
-0.583,3.823,0.019471167965
1.309,2.5,0.0229999399542
-1.043,2.239,0.287598786465
-0.898,1.139,0.0261722697488
1.582,2.88,0.011295095394
0.369,2.289,0.991043817231
-1.11,3.711,0.012418760912
-0.418,1.906,0.946375778329
0.165,2.393,0.990890070345
0.997,3.865,0.0155474120432
-0.337,2.351,0.990009202834
0.408,1.221,0.0201483380326
0.855,1.71,0.57629362786
-0.611,3.208,0.867214176576
0.423,0.714,0.00997250476706
0.877,2.094,0.788982893545
-0.493,3.52,0.338589347526
-0.24,1.606,0.683808980768
0.866,1.73,0.538603006924
1.023,3.852,0.0139600150193
0.216,1.95,0.978645618821
-0.486,1.506,0.346462425191
0.899,3.142,0.576499387554
-0.982,2.705,0.414571512376
0.792,0.817,0.0112025956771
0.017,2.297,0.991269818365
0.456,4.038,0.0199137916125
-0.878,1.446,0.150426176161
-0.099,2.967,0.987278589094
-0.153,1.41,0.215270292733
-1.457,1.181,0.00653579180081
0.694,1.97,0.947117688737
0.786,1.491,0.249134807525
0.816,4.293,0.014788356736
-0.062,3.259,0.894162649749
0.523,2.489,0.983690884054
0.557,1.984,0.95341581652
1.073,2.111,0.285014884836
-0.957,1.56,0.196482890565
0.046,3.028,0.986778249569
1.043,1.82,0.24857361797
-0.906,1.409,0.147412566245
1.207,1.619,0.0303148194704
-0.818,1.813,0.671618056381
0.676,1.024,0.0145260073397
-0.225,3.218,0.935685365908
-0.122,2.505,0.989101168382
1.264,1.345,0.00745825989406
0.942,3.282,0.284259447189
0.764,3.623,0.0637326303856
-0.053,2.863,0.987616088319
0.729,2.462,0.959841512535
0.387,2.199,0.990257939254
0.941,1.852,0.536227060237
0.746,1.624,0.590016121004
0.954,2.124,0.632973549321
1.701,1.72,0.0128459194261
0.35,1.079,0.0110568539989
-0.221,3.04,0.986065711374
-0.336,0.828,0.0162572234784
0.735,1.64,0.591582897421
0.857,2.529,0.858508477614
-0.883,2.22,0.744574673764
0.342,1.886,0.96304457249
1.092,1.079,0.00820685722345
-1.312,3.889,0.00194895667121
0.519,2.059,0.974490406772
-0.443,1.454,0.244103856683
0.352,1.18,0.0132276146534
-0.295,3.25,0.89533377594
0.588,2.331,0.982990426116
-0.832,3.276,0.466655063769
-0.743,2.378,0.934913042527
0.463,2.316,0.990554757157
0.637,2.53,0.96485830438
-0.194,2.264,0.986990282164
0.055,1.578,0.643025559398
0.952,3.772,0.0223842592328
-0.447,3.079,0.978989317462
0.293,1.828,0.956122591725
0.019,1.115,0.0129340991062
0.477,2.352,0.987945447878
0.711,2.773,0.972964026143
0.255,2.563,0.99096611991
0.668,2.2,0.975439656689
0.666,2.397,0.978291071591
1.571,2.931,0.0124344701221
1.082,2.288,0.309377531765
0.041,0.811,0.0110195247228
-0.1,2.099,0.980052862586
-0.448,3.912,0.0266213678519
0.116,1.183,0.0120920003322
0.769,2.361,0.932304922142
-0.48,2.119,0.972908373728
-0.165,1.418,0.245153856787
0.685,2.367,0.974758537551
0.99,3.534,0.0750874602574
0.621,1.266,0.0305749338414
1.137,1.708,0.0423224482083
1.758,2.642,0.0137439260255
0.83,1.494,0.213231125988
0.186,3.071,0.987198140498
0.226,3.099,0.979110605724
0.81,2.024,0.906668581337
-0.942,1.998,0.535187956656
-0.643,1.55,0.496651689743
0.317,2.576,0.989958481327
0.092,2.348,0.99138657098
0.624,2.079,0.968326517483
1.023,3.22,0.171358647661
0.756,3.1,0.843024650346
1.125,1.539,0.0551143453204
-0.16,1.233,0.0300149214433
0.966,4.156,0.016243521417
-1.103,1.352,0.0273855709533
0.913,3.307,0.292367105558
0.671,3.812,0.0163951263578
1.458,1.287,0.00393878600155
1.427,2.689,0.0132043426003
1.867,2.047,0.0207925611144
-0.269,1.689,0.822974620025
0.925,1.225,0.0228492275498
1.42,2.298,0.0153523794152
0.267,3.495,0.443760042229
1.281,1.86,0.0205278189674
0.341,1.707,0.90076802786
0.281,2.61,0.990632792715
0.819,2.754,0.9009264614
0.611,2.895,0.975114310685
0.169,1.589,0.680806988327
-0.252,1.687,0.835534608756
-0.824,2.876,0.796404704229
0.771,2.416,0.929711208325
0.032,2.152,0.989784131283
0.051,2.013,0.981198261453
0.602,1.827,0.926030174557
-0.369,1.435,0.228589779201
1.316,3.169,0.0138336602098
0.59,1.975,0.965684050307
0.29,3.015,0.983336789717
-0.272,3.204,0.923052702511
0.9,1.739,0.510189793878
0.418,3.136,0.969107065237
0.222,4.159,0.0226430752824
-1.159,1.344,0.0183016166637
-0.087,2.336,0.989358327925
1.308,1.565,0.013699015855
0.284,1.239,0.0259671206539
-0.862,2.394,0.758890478546
0.781,0.985,0.0161374363619
0.459,1.65,0.834682846189
0.866,1.962,0.761881680025
-0.928,1.243,0.0331659414282
1.499,1.847,0.0147961094476
-0.557,3.292,0.810593783966
0.983,1.8,0.286579889479
-0.82,3.674,0.0337459908301
1.335,1.196,0.00312667418299
-0.475,1.511,0.382673843279
-0.711,2.702,0.942704431277
-0.568,2.077,0.971110956878
-0.502,1.559,0.522254867608
0.552,1.186,0.0144528626033
0.819,3.767,0.0218185532553
